name	source	postalcode	layer	lat	lon
IT83	geonames2d	83	postalcode	40.9596	14.9251
IT84	geonames2d	84	postalcode	40.4842	15.0594
IT81	geonames2d	81	postalcode	41.1929	14.1697
IT80	geonames2d	80	postalcode	40.8233	14.3265
IT40	geonames2d	40	postalcode	44.438	11.3049
IT44	geonames2d	44	postalcode	44.7932	11.7762
IT47	geonames2d	47	postalcode	44.0447	12.2631
IT41	geonames2d	41	postalcode	44.5074	10.8799
IT43	geonames2d	43	postalcode	44.6718	10.1476
IT48	geonames2d	48	postalcode	44.3627	12.0268
IT42	geonames2d	42	postalcode	44.6165	10.627
IT29	geonames2d	29	postalcode	44.8894	9.7061
IT33	geonames2d	33	postalcode	46.0941	13.0327
IT34	geonames2d	34	postalcode	45.7757	13.626
IT03	geonames2d	03	postalcode	41.6108	13.5615
IT00	geonames2d	00	postalcode	41.9144	12.589
IT04	geonames2d	04	postalcode	41.4194	13.1836
IT01	geonames2d	01	postalcode	42.4355	12.1009
IT02	geonames2d	02	postalcode	42.3301	12.9093
IT16	geonames2d	16	postalcode	44.4282	9.0905
IT17	geonames2d	17	postalcode	44.2482	8.3055
IT19	geonames2d	19	postalcode	44.1493	9.8191
IT18	geonames2d	18	postalcode	43.9103	7.8384
IT25	geonames2d	25	postalcode	45.6327	10.2642
IT23	geonames2d	23	postalcode	46.0492	9.6197
IT24	geonames2d	24	postalcode	45.741	9.7418
IT22	geonames2d	22	postalcode	45.8622	9.1413
IT21	geonames2d	21	postalcode	45.802	8.7976
IT26	geonames2d	26	postalcode	45.2387	9.834
IT20	geonames2d	20	postalcode	45.5148	9.1877
IT46	geonames2d	46	postalcode	45.1126	10.7564
IT60	geonames2d	60	postalcode	43.5091	13.1848
IT62	geonames2d	62	postalcode	43.2131	13.29
IT61	geonames2d	61	postalcode	43.7485	12.7368
IT63	geonames2d	63	postalcode	42.9822	13.5882
IT86	geonames2d	86	postalcode	41.6533	14.497
IT12	geonames2d	12	postalcode	44.5221	7.7372
IT10	geonames2d	10	postalcode	45.156	7.5778
IT14	geonames2d	14	postalcode	44.8986	8.1795
IT28	geonames2d	28	postalcode	45.8107	8.4603
IT15	geonames2d	15	postalcode	44.8735	8.6211
IT13	geonames2d	13	postalcode	45.5485	8.1674
IT71	geonames2d	71	postalcode	41.5217	15.4944
IT73	geonames2d	73	postalcode	40.1248	18.2324
IT70	geonames2d	70	postalcode	40.9859	16.8956
IT72	geonames2d	72	postalcode	40.6551	17.6181
IT74	geonames2d	74	postalcode	40.4891	17.2858
IT09	geonames2d	09	postalcode	39.5569	8.8403
IT08	geonames2d	08	postalcode	40.2855	9.339
IT07	geonames2d	07	postalcode	40.7418	8.8763
IT95	geonames2d	95	postalcode	37.5896	15.0081
IT90	geonames2d	90	postalcode	37.9954	13.5105
IT91	geonames2d	91	postalcode	37.8697	12.6438
IT93	geonames2d	93	postalcode	37.453	13.9603
IT98	geonames2d	98	postalcode	38.1391	15.2124
IT97	geonames2d	97	postalcode	36.8766	14.6899
IT94	geonames2d	94	postalcode	37.6114	14.406
IT92	geonames2d	92	postalcode	37.4289	13.4986
IT96	geonames2d	96	postalcode	37.0783	15.0626
IT50	geonames2d	50	postalcode	43.7746	11.2205
IT55	geonames2d	55	postalcode	43.9702	10.4333
IT57	geonames2d	57	postalcode	43.1686	10.4259
IT58	geonames2d	58	postalcode	42.8023	11.2413
IT54	geonames2d	54	postalcode	44.1974	10.037
IT53	geonames2d	53	postalcode	43.2128	11.4549
IT59	geonames2d	59	postalcode	43.8992	11.0381
IT56	geonames2d	56	postalcode	43.5775	10.6309
IT52	geonames2d	52	postalcode	43.5235	11.7952
IT51	geonames2d	51	postalcode	43.9432	10.8411
IT38	geonames2d	38	postalcode	46.1115	11.1145
IT39	geonames2d	39	postalcode	46.6451	11.3946
IT06	geonames2d	06	postalcode	43.0442	12.5117
IT05	geonames2d	05	postalcode	42.6405	12.3992
IT11	geonames2d	11	postalcode	45.7366	7.4422
IT32	geonames2d	32	postalcode	46.256	12.1719
IT35	geonames2d	35	postalcode	45.3745	11.8209
IT37	geonames2d	37	postalcode	45.4097	11.0515
IT30	geonames2d	30	postalcode	45.5028	12.3585
IT45	geonames2d	45	postalcode	45.0219	11.8535
IT31	geonames2d	31	postalcode	45.7799	12.1869
IT36	geonames2d	36	postalcode	45.639	11.4974
IT27	geonames2d	27	postalcode	45.1154	9.0985
IT76	geonames2d	76	postalcode	41.2338	16.2025
LI94	geonames2d	94	postalcode	47.1776	9.5405
RO51	geonames2d	51	postalcode	46.2271	23.3579
RO31	geonames2d	31	postalcode	46.2391	21.6592
RO11	geonames2d	11	postalcode	44.9257	24.8498
RO60	geonames2d	60	postalcode	46.4609	26.9136
RO41	geonames2d	41	postalcode	46.9677	22.1386
RO42	geonames2d	42	postalcode	47.14	24.4139
RO71	geonames2d	71	postalcode	47.8238	26.745
RO81	geonames2d	81	postalcode	45.1993	27.819
RO50	geonames2d	50	postalcode	45.7345	25.3755
RO12	geonames2d	12	postalcode	45.251	26.7146
RO91	geonames2d	91	postalcode	44.3034	26.9638
RO32	geonames2d	32	postalcode	45.1559	21.9956
RO40	geonames2d	40	postalcode	46.7907	23.6351
RO90	geonames2d	90	postalcode	44.184	28.422
RO52	geonames2d	52	postalcode	45.8986	25.9034
RO13	geonames2d	13	postalcode	44.8613	25.4844
RO20	geonames2d	20	postalcode	44.2932	23.7187
RO80	geonames2d	80	postalcode	45.6133	27.9023
RO08	geonames2d	08	postalcode	43.9711	25.9374
RO21	geonames2d	21	postalcode	44.938	23.3494
RO53	geonames2d	53	postalcode	46.4524	25.5134
RO33	geonames2d	33	postalcode	45.8016	22.9214
RO92	geonames2d	92	postalcode	44.6254	27.0979
RO70	geonames2d	70	postalcode	47.1713	27.4097
RO07	geonames2d	07	postalcode	44.5166	26.1393
RO43	geonames2d	43	postalcode	47.6193	23.6499
RO22	geonames2d	22	postalcode	44.6371	22.8177
RO54	geonames2d	54	postalcode	46.5621	24.5522
RO61	geonames2d	61	postalcode	46.9588	26.5529
RO23	geonames2d	23	postalcode	44.3956	24.3974
RO10	geonames2d	10	postalcode	45.0216	26.039
RO45	geonames2d	45	postalcode	47.2042	23.1284
RO44	geonames2d	44	postalcode	47.733	22.882
RO55	geonames2d	55	postalcode	45.9212	24.2567
RO72	geonames2d	72	postalcode	47.5897	26.0282
RO14	geonames2d	14	postalcode	44.0754	25.2057
RO30	geonames2d	30	postalcode	45.7459	21.3878
RO82	geonames2d	82	postalcode	45.0884	28.7242
RO24	geonames2d	24	postalcode	45.0054	24.2156
RO73	geonames2d	73	postalcode	46.5157	27.7008
RO62	geonames2d	62	postalcode	45.7713	27.0606
RO04	geonames2d	04	postalcode	44.3819	26.1227
RO05	geonames2d	05	postalcode	44.4022	26.0624
RO06	geonames2d	06	postalcode	44.4378	26.0174
RO01	geonames2d	01	postalcode	44.4914	26.0602
RO02	geonames2d	02	postalcode	44.418	26.1691
RO03	geonames2d	03	postalcode	44.418	26.1691
LT85	geonames2d	85	postalcode	56.2436	22.8149
LT62	geonames2d	62	postalcode	54.4016	24.057
LT63	geonames2d	63	postalcode	54.4	24.05
LT64	geonames2d	64	postalcode	54.4057	24.0898
LT67	geonames2d	67	postalcode	54.1863	23.6534
LT29	geonames2d	29	postalcode	55.5329	25.0763
LT59	geonames2d	59	postalcode	54.6482	23.9937
LT41	geonames2d	41	postalcode	56.0954	24.8784
LT66	geonames2d	66	postalcode	54.0167	23.9667
LT26	geonames2d	26	postalcode	54.7761	24.6482
LT21	geonames2d	21	postalcode	54.6281	24.748
LT30	geonames2d	30	postalcode	55.3888	26.4006
LT55	geonames2d	55	postalcode	55.1346	24.2951
LT84	geonames2d	84	postalcode	56.2931	23.5011
LT74	geonames2d	74	postalcode	55.1316	22.845
LT56	geonames2d	56	postalcode	54.8344	24.3753
LT69	geonames2d	69	postalcode	54.5864	23.3953
LT44	geonames2d	44	postalcode	54.9	23.9
LT45	geonames2d	45	postalcode	54.9	23.9
LT46	geonames2d	46	postalcode	54.9014	23.8961
LT47	geonames2d	47	postalcode	54.9143	23.8929
LT48	geonames2d	48	postalcode	54.9	23.9
LT49	geonames2d	49	postalcode	54.9	23.9
LT50	geonames2d	50	postalcode	54.9	23.9
LT51	geonames2d	51	postalcode	54.9	23.9
LT52	geonames2d	52	postalcode	54.9	23.9
LT53	geonames2d	53	postalcode	54.9622	23.7705
LT54	geonames2d	54	postalcode	55.0653	23.814
LT71	geonames2d	71	postalcode	54.9544	23.1795
LT58	geonames2d	58	postalcode	55.3567	23.9303
LT57	geonames2d	57	postalcode	55.29	23.9753
LT86	geonames2d	86	postalcode	55.6497	22.8558
LT81	geonames2d	81	postalcode	56.0224	23.0286
LT91	geonames2d	91	postalcode	55.717	21.1276
LT94	geonames2d	94	postalcode	55.714	21.1321
LT96	geonames2d	96	postalcode	55.638	21.4917
LT00	geonames2d	00	postalcode	55.9175	21.0686
LT97	geonames2d	97	postalcode	55.9864	21.3821
LT40	geonames2d	40	postalcode	55.8606	24.9496
LT68	geonames2d	68	postalcode	54.5661	23.3508
LT89	geonames2d	89	postalcode	56.2846	22.3321
LT33	geonames2d	33	postalcode	55.1842	25.4019
LT93	geonames2d	93	postalcode	55.3719	21.0647
LT72	geonames2d	72	postalcode	55.1538	22.4908
LT99	geonames2d	99	postalcode	55.3442	21.6492
LT83	geonames2d	83	postalcode	56.0817	23.8842
LT35	geonames2d	35	postalcode	55.7046	24.442
LT36	geonames2d	36	postalcode	55.7217	24.3639
LT37	geonames2d	37	postalcode	55.7333	24.35
LT38	geonames2d	38	postalcode	55.6551	24.3864
LT39	geonames2d	39	postalcode	56.0566	24.3712
LT90	geonames2d	90	postalcode	55.8978	21.8911
LT82	geonames2d	82	postalcode	55.7186	23.66
LT60	geonames2d	60	postalcode	55.3997	23.1281
LT42	geonames2d	42	postalcode	55.9583	25.5169
LT17	geonames2d	17	postalcode	54.3004	25.3104
LT76	geonames2d	76	postalcode	55.9335	23.3151
LT80	geonames2d	80	postalcode	55.9255	23.2268
LT79	geonames2d	79	postalcode	55.9333	23.3167
LT75	geonames2d	75	postalcode	55.5244	22.2688
LT19	geonames2d	19	postalcode	55.0362	24.8844
LT98	geonames2d	98	postalcode	56.2104	21.6254
LT18	geonames2d	18	postalcode	55.1231	26.0313
LT73	geonames2d	73	postalcode	55.3535	22.383
LT88	geonames2d	88	postalcode	55.9032	22.3782
LT87	geonames2d	87	postalcode	55.9833	22.2473
LT25	geonames2d	25	postalcode	54.6645	25.1625
LT20	geonames2d	20	postalcode	55.2483	24.8292
LT28	geonames2d	28	postalcode	55.5354	25.6907
LT65	geonames2d	65	postalcode	54.2386	24.4585
