name,source,postalcode,layer,lat,lon
BE78,geonames2d,78,postalcode,50.6535,3.8264
BE79,geonames2d,79,postalcode,50.5535,3.7459
BE40,geonames2d,40,postalcode,50.6367,5.5934
BE41,geonames2d,41,postalcode,50.4963,5.563
BE42,geonames2d,42,postalcode,50.6426,5.1096
BE43,geonames2d,43,postalcode,50.6847,5.3511
BE44,geonames2d,44,postalcode,50.6526,5.4835
BE45,geonames2d,45,postalcode,50.5144,5.3109
BE46,geonames2d,46,postalcode,50.6806,5.7047
BE47,geonames2d,47,postalcode,50.4253,6.1333
BE48,geonames2d,48,postalcode,50.6233,5.8803
BE49,geonames2d,49,postalcode,50.4131,5.8614
BE66,geonames2d,66,postalcode,50.0814,5.7445
BE67,geonames2d,67,postalcode,49.64,5.6574
BE68,geonames2d,68,postalcode,49.8391,5.2516
BE69,geonames2d,69,postalcode,50.2043,5.4078
BE50,geonames2d,50,postalcode,50.4864,4.7651
BE51,geonames2d,51,postalcode,50.4357,4.808
BE53,geonames2d,53,postalcode,50.4374,5.0836
BE55,geonames2d,55,postalcode,50.1475,4.9663
BE56,geonames2d,56,postalcode,50.19,4.5686
BG85,geonames2d,85,postalcode,42.8087,27.2453
BG80,geonames2d,80,postalcode,42.5,27.4667
BG81,geonames2d,81,postalcode,42.4506,27.4031
BG83,geonames2d,83,postalcode,42.2336,27.2126
BG84,geonames2d,84,postalcode,42.7075,26.9016
BG82,geonames2d,82,postalcode,42.5275,27.6936
BG27,geonames2d,27,postalcode,41.9256,23.3295
BG29,geonames2d,29,postalcode,41.5708,23.8394
BG28,geonames2d,28,postalcode,41.5192,23.232
BG42,geonames2d,42,postalcode,41.9949,24.939
BG96,geonames2d,96,postalcode,43.5249,28.2982
BG95,geonames2d,95,postalcode,43.7195,28.0825
BG93,geonames2d,93,postalcode,43.5717,27.7612
BG94,geonames2d,94,postalcode,43.7804,27.5738
BG98,geonames2d,98,postalcode,43.1217,26.8865
BG56,geonames2d,56,postalcode,42.9078,24.7402
BG75,geonames2d,75,postalcode,43.9789,27.2926
BG53,geonames2d,53,postalcode,42.8935,25.4215
BG54,geonames2d,54,postalcode,42.9503,25.0656
BG63,geonames2d,63,postalcode,41.8157,25.5747
BG64,geonames2d,64,postalcode,41.9244,25.7929
BG50,geonames2d,50,postalcode,42.9334,25.8051
BG65,geonames2d,65,postalcode,41.7869,26.1849
BG69,geonames2d,69,postalcode,41.4649,25.7869
BG68,geonames2d,68,postalcode,41.4442,25.367
BG87,geonames2d,87,postalcode,42.1212,26.6199
BG86,geonames2d,86,postalcode,42.4116,26.5585
BG26,geonames2d,26,postalcode,42.2251,23.0477
BG36,geonames2d,36,postalcode,43.7005,23.2408
BG25,geonames2d,25,postalcode,42.3266,22.6592
BG67,geonames2d,67,postalcode,41.6618,25.2396
BG99,geonames2d,99,postalcode,43.4649,27.1877
BG37,geonames2d,37,postalcode,43.9559,22.764
BG41,geonames2d,41,postalcode,42.2531,24.8204
BG66,geonames2d,66,postalcode,41.6943,25.4147
BG55,geonames2d,55,postalcode,43.1377,24.7386
BG57,geonames2d,57,postalcode,43.0448,24.2216
BG35,geonames2d,35,postalcode,43.2569,23.2071
BG34,geonames2d,34,postalcode,43.438,23.1457
BG45,geonames2d,45,postalcode,42.2448,24.2798
BG44,geonames2d,44,postalcode,42.231,24.2215
BG46,geonames2d,46,postalcode,41.98,23.8966
BG48,geonames2d,48,postalcode,41.7199,24.537
BG43,geonames2d,43,postalcode,42.5843,24.7736
BG40,geonames2d,40,postalcode,42.1834,24.6916
BG23,geonames2d,23,postalcode,42.6845,22.9168
BG24,geonames2d,24,postalcode,42.6387,22.744
BG59,geonames2d,59,postalcode,43.5115,24.7839
BG58,geonames2d,58,postalcode,43.4376,24.566
BG32,geonames2d,32,postalcode,43.4256,23.9122
BG72,geonames2d,72,postalcode,43.5116,26.5442
BG73,geonames2d,73,postalcode,43.8257,26.5096
BG74,geonames2d,74,postalcode,43.671,26.85
BG71,geonames2d,71,postalcode,43.5172,25.786
BG70,geonames2d,70,postalcode,43.7879,26.1286
BG79,geonames2d,79,postalcode,43.0797,26.3086
BG21,geonames2d,21,postalcode,42.8099,23.7878
BG22,geonames2d,22,postalcode,42.934,23.0989
BG20,geonames2d,20,postalcode,42.4752,23.7541
BG97,geonames2d,97,postalcode,43.4553,26.9241
BG76,geonames2d,76,postalcode,43.8866,26.92
BG88,geonames2d,88,postalcode,42.6602,26.2682
BG89,geonames2d,89,postalcode,42.6043,26.1854
BG47,geonames2d,47,postalcode,41.5341,24.7388
BG49,geonames2d,49,postalcode,41.5164,24.9738
BG10,geonames2d,10,postalcode,42.6833,23.3167
BG11,geonames2d,11,postalcode,42.6,23.45
BG12,geonames2d,12,postalcode,42.8004,23.4216
BG13,geonames2d,13,postalcode,42.7084,23.1166
BG16,geonames2d,16,postalcode,42.6,23.1833
BG17,geonames2d,17,postalcode,42.7102,23.3575
BG62,geonames2d,62,postalcode,42.2545,25.5597
BG61,geonames2d,61,postalcode,42.6341,25.4689
BG60,geonames2d,60,postalcode,42.3349,25.6376
BG78,geonames2d,78,postalcode,43.3508,26.2421
BG77,geonames2d,77,postalcode,43.2463,26.5949
BG91,geonames2d,91,postalcode,43.1724,27.7416
BG92,geonames2d,92,postalcode,43.2107,27.3996
BG90,geonames2d,90,postalcode,43.2111,27.8611
BG39,geonames2d,39,postalcode,43.6246,22.7319
BG38,geonames2d,38,postalcode,43.8964,22.538
BG31,geonames2d,31,postalcode,43.1329,23.7642
BG30,geonames2d,30,postalcode,43.3251,23.552
BG33,geonames2d,33,postalcode,43.6563,23.8786
BG51,geonames2d,51,postalcode,43.2383,25.7985
BG52,geonames2d,52,postalcode,43.336,25.3079
BMDV,geonames2d,DV,postalcode,32.2979,-64.761
BMFL,geonames2d,FL,postalcode,32.3264,-64.7411
BMHM,geonames2d,HM,postalcode,32.2989,-64.7897
BMCR,geonames2d,CR,postalcode,32.3264,-64.7411
BMHS,geonames2d,HS,postalcode,32.354,-64.7096
BMPG,geonames2d,PG,postalcode,32.2752,-64.7881
BMGE,geonames2d,GE,postalcode,32.3772,-64.6872
BMDD,geonames2d,DD,postalcode,32.3726,-64.6944
BMMA,geonames2d,MA,postalcode,32.2934,-64.8683
BMSB,geonames2d,SB,postalcode,32.2721,-64.8624
BMSN,geonames2d,SN,postalcode,32.2508,-64.8564
BMWK,geonames2d,WK,postalcode,32.2633,-64.8154
BR69,geonames2d,69,postalcode,-4.3254,-64.6043
BR57,geonames2d,57,postalcode,-9.4981,-36.4895
BR68,geonames2d,68,postalcode,-2.6492,-50.072
BR46,geonames2d,46,postalcode,-13.5475,-41.9022
BR48,geonames2d,48,postalcode,-10.9488,-38.7394
BR45,geonames2d,45,postalcode,-14.7975,-39.8331
BR44,geonames2d,44,postalcode,-11.9511,-39.9757
BR47,geonames2d,47,postalcode,-11.9939,-43.7825
BR42,geonames2d,42,postalcode,-12.6991,-38.3598
BR43,geonames2d,43,postalcode,-12.6458,-38.4886
BR40,geonames2d,40,postalcode,-12.8665,-38.4858
BR63,geonames2d,63,postalcode,-6.375,-39.432
BR62,geonames2d,62,postalcode,-4.0747,-39.6267
BR61,geonames2d,61,postalcode,-3.9454,-38.6083
BR60,geonames2d,60,postalcode,-3.7227,-38.5247
BR70,geonames2d,70,postalcode,-15.8072,-47.7735
BR71,geonames2d,71,postalcode,-16.8278,-47.5918
BR72,geonames2d,72,postalcode,-15.9393,-48.2726
BR73,geonames2d,73,postalcode,-14.5147,-47.0908
BR29,geonames2d,29,postalcode,-19.8771,-40.8375
BR79,geonames2d,79,postalcode,-21.246,-54.4839
BR65,geonames2d,65,postalcode,-4.2549,-44.9235
BR78,geonames2d,78,postalcode,-12.9273,-57.5653
BR38,geonames2d,38,postalcode,-18.7622,-47.563
BR35,geonames2d,35,postalcode,-19.6455,-43.426
BR39,geonames2d,39,postalcode,-16.9338,-42.7774
BR37,geonames2d,37,postalcode,-21.6915,-45.7258
BR36,geonames2d,36,postalcode,-21.0562,-43.0143
BR30,geonames2d,30,postalcode,-19.8993,-43.957
BR32,geonames2d,32,postalcode,-20.0134,-44.1748
